Input,Output
COc1ccc(S(=O)(=O)Cl)cc1.[Na+]>CC(C)=O.[I-],COc1ccc(S(=O)[O-])cc1
N#Cc1c(N)nc(Cl)c(C#N)c1-c1ccccc1.OCc1ccccn1>CC(C)(C)[O-].[K+],N#Cc1c(N)nc(OCc2ccccn2)c(C#N)c1-c1ccccc1
CN1CCC(CCO)CC1.Cc1ccc(N2CCN(C(=O)Oc3ccc([N+](=O)[O-])cc3)CC2)cc1>C1CCOC1.CCCCCCC.[H-].[Na+],Cc1ccc(N2CCN(C(=O)OCCC3CCN(C)CC3)CC2)cc1
CC(C)(C)OC(=O)N1CCC(COC(=O)C2CCC3CN2C(=O)N3OS(=O)(=O)O)CC1>O=C(O)C(F)(F)F,O=C(OCC1CCNCC1)C1CCC2CN1C(=O)N2OS(=O)(=O)O
CCC12CCC3C4CCC(=O)C=C4CCC3C1C(O)CC2=O.O=C(Cl)c1ccccc1>ClCCl.O.c1ccncc1,CCC12CCC3C4CCC(=O)C=C4CCC3C1C(OC(=O)c1ccccc1)CC2=O
CCN(CC)CCN(C)Cc1cc(C)cc(C(=O)OC)c1>[Na+].[OH-],CCN(CC)CCN(C)Cc1cc(C)cc(C(=O)O)c1
COc1ccc2c(Cl)nc(Nc3cc(C)[nH]n3)cc2c1.Cc1ccc(O)cc1>,COc1ccc2c(Oc3ccc(C)cc3)nc(Nc3cc(C)[nH]n3)cc2c1
COC(=O)C(C)c1ccc(C#Cc2cc(C3CC3)c3c(c2)C(C)(C)CCC3N(C)C2CC2)cc1>C1CCOC1.CO.[Cl-].[Li+].[NH4+].[OH-],CC(C(=O)O)c1ccc(C#Cc2cc(C3CC3)c3c(c2)C(C)(C)CCC3N(C)C2CC2)cc1
Clc1ccc(Oc2cccc(N3CCNCC3)n2)cc1.O=C(NCC(F)(F)F)C1(CCCCBr)c2ccccc2-c2ccccc21>,O=C(NCC(F)(F)F)C1(CCCCN2CCN(c3cccc(Oc4ccc(Cl)cc4)n3)CC2)c2ccccc2-c2ccccc21
CC(C)(C)OC(=O)CC(=O)[O-].CC1(C)OC(=O)C(CC(=O)O)O1>C1CCOC1.CCN(CC)CC.CN(C)C=O.O=C(n1ccnc1)n1ccnc1.[Cl-].[Cl-].[Mg+2],CC(C)(C)OC(=O)CC(=O)CC1OC(C)(C)OC1=O
CCN.Oc1cccc2ccccc12>[Na+].[OH-].c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,CCNc1cccc2ccccc12
Clc1ccc(I)cn1.OC1CN(C(c2ccccc2)c2ccccc2)C1>CCOCC.CN(C)C=O.[Cl-].[H-].[NH4+].[Na+],Ic1ccc(OC2CN(C(c3ccccc3)c3ccccc3)C2)nc1
CC1(C)CCC(=O)CC1.CCO[CH+]OCC>CCN(C(C)C)C(C)C.F[B-](F)(F)F,CCOC(OCC)C1CC(C)(C)CCC1=O
COc1ccc(COCCC(O)CO)cc1.ClC(c1ccccc1)(c1ccccc1)c1ccccc1>c1ccncc1,COc1ccc(COCCC(O)COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
CC(C)=O.O=Cc1ccc(-c2cccs2)s1>CCO.O.[K+].[OH-],CC(=O)C=Cc1ccc(-c2cccs2)s1
O=C([O-])C(O)(C(F)(F)F)C(F)(F)F>Cl.O.O=C([O-])[O-].[Na+].[Na+].[Na+],O.O=C(C(F)(F)F)C(F)(F)F
COc1ccccc1COCCCOc1ccc(C2CCN(C(=O)OC(C)(C)C)CC2OCc2ccc3c(c2)N(CCCCN)CCC3)cc1>CO.Cl,COc1ccccc1COCCCOc1ccc(C2CCNCC2OCc2ccc3c(c2)N(CCCCN)CCC3)cc1
CC(=O)N(C)c1csc(Br)n1.CO>[Na],COc1nc(N(C)C(C)=O)cs1
CN(C)CCCN(C)c1ccc(C(F)(F)F)cc1N.Cc1cc(N=C=O)ccc1Oc1ncccc1-c1ccncn1>Cc1ccccc1,Cc1cc(NC(=O)Nc2cc(C(F)(F)F)ccc2N(C)CCCN(C)C)ccc1Oc1ncccc1-c1ccncn1
